Query Name,Rank,TF,Score,Library,Overlapping_Genes,Is_STAT1_Target
IFNa30h_enhancer_genes,480,HBP1,561.0,"ARCHS4 Coexpression,352;Enrichr Queries,1050;ReMap ChIP-seq,89;GTEx Coexpression,753",,True
IFNa30h_enhancer_genes,481,GTF2IRD1,561.5,"ARCHS4 Coexpression,301;GTEx Coexpression,822",,True
IFNa30h_enhancer_genes,482,ZNF208,562.3,"ARCHS4 Coexpression,128;Enrichr Queries,215;GTEx Coexpression,1344",,True
IFNa30h_enhancer_genes,483,FOSL1,562.4,"ARCHS4 Coexpression,1033;ENCODE ChIP-seq,108;Enrichr Queries,562;ReMap ChIP-seq,61;GTEx Coexpression,1048",,True
IFNa30h_enhancer_genes,484,SMAD1,562.8,"Literature ChIP-seq,135;ARCHS4 Coexpression,914;Enrichr Queries,994;ReMap ChIP-seq,97;GTEx Coexpression,674",,True
IFNa30h_enhancer_genes,485,ONECUT1,563.8,"ARCHS4 Coexpression,498;Enrichr Queries,1128;ReMap ChIP-seq,60;GTEx Coexpression,569",,True
IFNa30h_enhancer_genes,486,ZNF850,564.0,"ARCHS4 Coexpression,875;GTEx Coexpression,253",,True
IFNa30h_enhancer_genes,487,GATA6,564.0,"Literature ChIP-seq,52;ARCHS4 Coexpression,558;Enrichr Queries,425;ReMap ChIP-seq,178;GTEx Coexpression,1607",,True
IFNa30h_enhancer_genes,488,EEA1,564.0,"ARCHS4 Coexpression,910;Enrichr Queries,307;GTEx Coexpression,475",,True
IFNa30h_enhancer_genes,489,EGR1,565.0,"Literature ChIP-seq,24;ARCHS4 Coexpression,1179;ENCODE ChIP-seq,22;Enrichr Queries,411;ReMap ChIP-seq,230;GTEx Coexpression,1524",,True
IFNa30h_enhancer_genes,490,POU5F1B,565.5,"ARCHS4 Coexpression,255;GTEx Coexpression,876",,True
IFNa30h_enhancer_genes,491,ETV1,566.5,"ARCHS4 Coexpression,1423;Enrichr Queries,615;ReMap ChIP-seq,56;GTEx Coexpression,172",,True
IFNa30h_enhancer_genes,492,E2F8,566.7,"ARCHS4 Coexpression,517;Enrichr Queries,772;GTEx Coexpression,411",,True
IFNa30h_enhancer_genes,493,ESRRG,566.7,"ARCHS4 Coexpression,204;Enrichr Queries,146;GTEx Coexpression,1350",,True
IFNa30h_enhancer_genes,494,TP53,567.2,"Literature ChIP-seq,20;ARCHS4 Coexpression,479;Enrichr Queries,1164;ReMap ChIP-seq,168;GTEx Coexpression,1005",PARD6G,True
IFNa30h_enhancer_genes,495,ZBTB3,567.3,"ARCHS4 Coexpression,478;Enrichr Queries,981;GTEx Coexpression,243",,True
IFNa30h_enhancer_genes,496,ZFAT,568.3,"ARCHS4 Coexpression,391;Enrichr Queries,349;GTEx Coexpression,965",,True
IFNa30h_enhancer_genes,497,TFCP2L1,570.0,"ARCHS4 Coexpression,483;Enrichr Queries,1007;GTEx Coexpression,220",,True
IFNa30h_enhancer_genes,498,ZNF66,570.0,"ARCHS4 Coexpression,692;GTEx Coexpression,448",,True
IFNa30h_enhancer_genes,499,ZNF792,570.3,"ARCHS4 Coexpression,16;Enrichr Queries,552;GTEx Coexpression,1143","DDX11L16,DDX11L9",True
IFNa30h_enhancer_genes,500,ZNF581,571.0,"ARCHS4 Coexpression,152;Enrichr Queries,1386;GTEx Coexpression,175",,True
IFNa30h_enhancer_genes,501,GATA2,571.0,"Literature ChIP-seq,5;ARCHS4 Coexpression,1255;ENCODE ChIP-seq,62;Enrichr Queries,567;ReMap ChIP-seq,174;GTEx Coexpression,1363",OR4F16,True
IFNa30h_enhancer_genes,502,ZNF689,571.0,"ARCHS4 Coexpression,427;Enrichr Queries,255;GTEx Coexpression,1031",,True
IFNa30h_enhancer_genes,503,ZKSCAN2,571.3,"ARCHS4 Coexpression,247;Enrichr Queries,76;GTEx Coexpression,1391",,True
IFNa30h_enhancer_genes,504,SNAPC4,571.5,"ARCHS4 Coexpression,820;Enrichr Queries,923;ReMap ChIP-seq,189;GTEx Coexpression,354",,True
