Query Name,Rank,TF,Score,Library,Overlapping_Genes,Is_STAT1_Target
IFNa6h_enhancer_genes,1,NFX1,69.67,"ARCHS4 Coexpression,31;Enrichr Queries,99;GTEx Coexpression,79","PGBD2,PRMT2",True
IFNa6h_enhancer_genes,2,ZSCAN5B,93.33,"ARCHS4 Coexpression,42;Enrichr Queries,144;GTEx Coexpression,94","ANHX,FRG2B",True
IFNa6h_enhancer_genes,3,ZNF778,93.67,"ARCHS4 Coexpression,12;Enrichr Queries,136;GTEx Coexpression,133",RPL23AP87,True
IFNa6h_enhancer_genes,4,IKZF2,95.0,"ARCHS4 Coexpression,161;Enrichr Queries,41;GTEx Coexpression,83",MIR5195,True
IFNa6h_enhancer_genes,5,ZSCAN5C,97.33,"ARCHS4 Coexpression,5;Enrichr Queries,134;GTEx Coexpression,153","FRG2B,DUX4",True
IFNa6h_enhancer_genes,6,ZNF888,101.0,"GTEx Coexpression,101",PDCD2,True
IFNa6h_enhancer_genes,7,BHLHA15,104.5,"ARCHS4 Coexpression,121;GTEx Coexpression,88",PDCD2,True
IFNa6h_enhancer_genes,8,ZNF208,113.0,"ARCHS4 Coexpression,100;Enrichr Queries,225;GTEx Coexpression,14",VIPR2,True
IFNa6h_enhancer_genes,9,SRCAP,113.3,"ARCHS4 Coexpression,187;Enrichr Queries,130;GTEx Coexpression,23",PGBD2,True
IFNa6h_enhancer_genes,10,ZSCAN30,116.0,"ARCHS4 Coexpression,44;GTEx Coexpression,188",PGBD2,True
IFNa6h_enhancer_genes,11,ZGPAT,128.7,"ARCHS4 Coexpression,137;Enrichr Queries,109;GTEx Coexpression,140",,True
IFNa6h_enhancer_genes,12,TFDP3,137.3,"ARCHS4 Coexpression,58;Enrichr Queries,327;GTEx Coexpression,27",ANHX,True
IFNa6h_enhancer_genes,13,POU2F2,141.4,"ARCHS4 Coexpression,403;ENCODE ChIP-seq,33;Enrichr Queries,48;ReMap ChIP-seq,148;GTEx Coexpression,75","PGBD2,MIR5195",True
IFNa6h_enhancer_genes,14,RAG1,153.7,"ARCHS4 Coexpression,81;Enrichr Queries,253;GTEx Coexpression,127",PGBD2,True
IFNa6h_enhancer_genes,15,ANHX,155.5,"ARCHS4 Coexpression,147;GTEx Coexpression,164",,True
IFNa6h_enhancer_genes,16,SPI1,164.5,"Literature ChIP-seq,29;ARCHS4 Coexpression,484;ENCODE ChIP-seq,63;Enrichr Queries,60;ReMap ChIP-seq,102;GTEx Coexpression,249","PDCD2,DUX4",True
IFNa6h_enhancer_genes,17,LYL1,168.0,"Literature ChIP-seq,130;ARCHS4 Coexpression,114;Enrichr Queries,22;ReMap ChIP-seq,167;GTEx Coexpression,407",,True
IFNa6h_enhancer_genes,18,IRF4,168.4,"ARCHS4 Coexpression,604;ENCODE ChIP-seq,37;Enrichr Queries,43;ReMap ChIP-seq,84;GTEx Coexpression,74","PGBD2,MIR5195",True
IFNa6h_enhancer_genes,19,RFX5,173.4,"ARCHS4 Coexpression,610;ENCODE ChIP-seq,58;Enrichr Queries,36;ReMap ChIP-seq,44;GTEx Coexpression,119","MIR5195,PDCD2",True
